,Brand,TopSpeed_KmH,FastCharge_KmH,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Range_km_binned,efficiency_WhKm_binned
0,Tesla ,233,940,AWD,Type 2 CCS,Sedan,D,5,55480,400-500,150-199
1,Volkswagen ,160,250,RWD,Type 2 CCS,Hatchback,C,5,30000,200-300,150-199
2,Polestar ,210,620,AWD,Type 2 CCS,Liftback,D,5,56440,400-500,150-199
3,BMW ,180,560,RWD,Type 2 CCS,SUV,D,5,68040,300-400,200-249
4,Honda ,145,190,RWD,Type 2 CCS,Hatchback,B,4,32997,100-200,150-199
5,Lucid ,250,620,AWD,Type 2 CCS,Sedan,F,5,105000,600-700,150-199
6,Volkswagen ,150,220,FWD,Type 2 CCS,Hatchback,C,5,31900,100-200,150-199
7,Peugeot ,150,420,FWD,Type 2 CCS,Hatchback,B,5,29682,200-300,150-199
8,Tesla ,225,650,RWD,Type 2 CCS,Sedan,D,5,46380,300-400,150-199
9,Audi ,180,540,AWD,Type 2 CCS,SUV,D,5,55000,400-500,150-199
10,Mercedes ,180,440,AWD,Type 2 CCS,SUV,D,5,69484,300-400,200-249
11,Nissan ,144,230,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234,200-300,150-199
12,Hyundai ,167,380,FWD,Type 2 CCS,SUV,B,5,40795,400-500,150-199
13,BMW ,200,650,RWD,Type 2 CCS,Sedan,D,5,65000,400-500,150-199
14,Hyundai ,165,210,FWD,Type 2 CCS,Liftback,C,5,34459,200-300,150-199
15,Volkswagen ,160,590,RWD,Type 2 CCS,Hatchback,C,4,40936,400-500,150-199
16,Porsche ,260,780,AWD,Type 2 CCS,Sedan,F,4,180781,300-400,200-249
17,Volkswagen ,130,170,FWD,Type 2 CCS,Hatchback,A,4,21421,100-200,150-199
18,MG ,140,260,FWD,Type 2 CCS,SUV,B,5,30000,200-300,150-199
19,Mini ,150,260,FWD,Type 2 CCS,Hatchback,B,4,31681,100-200,150-199
20,Opel ,150,420,FWD,Type 2 CCS,Hatchback,B,5,29146,200-300,150-199
21,Tesla ,217,930,AWD,Type 2 CCS,SUV,D,7,58620,400-500,150-199
22,Skoda ,160,230,RWD,Type 2 CCS,SUV,C,5,35000,200-300,150-199
23,Audi ,240,850,AWD,Type 2 CCS,Sedan,F,4,125000,400-500,150-199
